Gene_name,UniProtKB_ID,Occurrence,Kmer_distance_median,ANI_median,Flank_index_median,Procrustes_correlation,Procrustes_signif,Mantel_correlation,Mantel_signif,Man_signif_FDR_adjusted,Roary_annotation,KEGG_pathway,GO_BP_term,GO_MF_term,GO_CC_term
aas,P31119,3503,13668,98.60204,100.00000,0.15141,0.00100,0.85620,0.00100,0.00156,Bifunctional protein Aas,Fatty acid degradation,phosphorus metabolic process/phosphate-containing compound metabolic process/monocarboxylic acid metabolic process/organophosphate metabolic process/carboxylic acid metabolic process/organophosphate biosynthetic process/phospholipid metabolic process/phospholipid biosynthetic process/lipid biosynthetic process/cellular lipid metabolic process/fatty acid metabolic process/lipid metabolic process,"ligase activity/adenyl nucleotide binding/ATP binding/O-acyltransferase activity/adenyl ribonucleotide binding/ligase activity, forming carbon-sulfur bonds/acid-thiol ligase activity/purine ribonucleoside triphosphate binding/purine ribonucleotide binding/acyltransferase activity, transferring groups other than amino-acyl groups/acyltransferase activity/ATP-dependent activity",NA
accD,P0A9Q5,3503,20695,98.01643,94.73684,0.10149,0.00100,0.90633,0.00100,0.00156,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,Biosynthesis of secondary metabolites,purine ribonucleotide metabolic process/ribose phosphate metabolic process/ribonucleotide metabolic process/purine nucleotide metabolic process/purine ribonucleotide biosynthetic process/phosphorus metabolic process/ribose phosphate biosynthetic process/phosphate-containing compound metabolic process/sulfur compound metabolic process/nucleoside bisphosphate metabolic process/ribonucleoside bisphosphate metabolic process/purine nucleoside bisphosphate metabolic process/purine nucleotide biosynthetic process/ribonucleotide biosynthetic process/purine-containing compound metabolic process/negative regulation of gene expression/nucleoside phosphate metabolic process/monocarboxylic acid metabolic process/negative regulation of metabolic process/purine-containing compound biosynthetic process/nucleotide metabolic process/nucleobase-containing small molecule metabolic process/negative regulation of biosynthetic process/negative regulation of cellular biosynthetic process/sulfur compound biosynthetic process/nucleoside bisphosphate biosynthetic process/ribonucleoside bisphosphate biosynthetic process/purine nucleoside bisphosphate biosynthetic process/negative regulation of cellular metabolic process/negative regulation of biological process/organophosphate metabolic process/negative regulation of cellular process/negative regulation of macromolecule biosynthetic process/nucleotide biosynthetic process/nucleoside phosphate biosynthetic process/carboxylic acid metabolic process/organophosphate biosynthetic process/negative regulation of macromolecule metabolic process/acyl-CoA metabolic process/thioester metabolic process/carbohydrate derivative metabolic process/post-transcriptional regulation of gene expression/small molecule biosynthetic process/regulation of translation/negative regulation of translation/negative regulation of cellular macromolecule biosynthetic process/regulation of amide metabolic process/regulation of cellular macromolecule biosynthetic process/negative regulation of amide metabolic process/peptide biosynthetic process/negative regulation of nitrogen compound metabolic process/translation/peptide metabolic process/carbohydrate derivative biosynthetic process/amide metabolic process/amide biosynthetic process/organic acid biosynthetic process/carboxylic acid biosynthetic process/regulation of gene expression/cellular macromolecule biosynthetic process/negative regulation of protein metabolic process/regulation of cellular metabolic process/regulation of protein metabolic process/regulation of cellular biosynthetic process/regulation of metabolic process/regulation of biosynthetic process/regulation of macromolecule biosynthetic process/regulation of nitrogen compound metabolic process/regulation of primary metabolic process/lipid biosynthetic process/regulation of macromolecule metabolic process/protein metabolic process/cellular lipid metabolic process/fatty acid biosynthetic process/fatty acid metabolic process/lipid metabolic process/monocarboxylic acid biosynthetic process,"mRNA binding/transition metal ion binding/RNA binding/zinc ion binding/ligase activity/adenyl nucleotide binding/ATP binding/transferase activity, transferring one-carbon groups/adenyl ribonucleotide binding/purine ribonucleoside triphosphate binding/purine ribonucleotide binding/DNA binding",transferase complex/catalytic complex
alaA,P0A959,3503,10702,98.87516,100.00000,0.15701,0.00100,0.91725,0.00100,0.00156,Glutamate-pyruvate aminotransferase AlaA,Biosynthesis of secondary metabolites,pyruvate metabolic process/monocarboxylic acid metabolic process/carboxylic acid metabolic process/small molecule biosynthetic process/D-amino acid metabolic process/cellular response to stress/cellular response to DNA damage stimulus/amino acid biosynthetic process/organic acid biosynthetic process/carboxylic acid biosynthetic process/alpha-amino acid biosynthetic process/response to chemical/amino acid metabolic process/response to antibiotic/alpha-amino acid metabolic process,"transferase activity, transferring nitrogenous groups/pyridoxal phosphate binding/vitamin B6 binding/transaminase activity/vitamin binding",NA
argA,P0A6C5,3503,24771,97.98607,89.65517,0.27102,0.00100,0.81774,0.00100,0.00156,Amino-acid acetyltransferase,Biosynthesis of secondary metabolites,carboxylic acid metabolic process/small molecule biosynthetic process/glutamine family amino acid biosynthetic process/glutamine family amino acid metabolic process/amino acid biosynthetic process/organic acid biosynthetic process/carboxylic acid biosynthetic process/alpha-amino acid biosynthetic process/amino acid metabolic process/arginine metabolic process/arginine biosynthetic process/alpha-amino acid metabolic process,"acetyltransferase activity/N-acetyltransferase activity/acyltransferase activity, transferring groups other than amino-acyl groups/N-acyltransferase activity/acyltransferase activity",NA
aroA,P0A6D3,3503,27710,98.15376,90.90909,0.20357,0.00100,0.87141,0.00100,0.00156,3-phosphoshikimate 1-carboxyvinyltransferase,Biosynthesis of secondary metabolites,carboxylic acid metabolic process/small molecule biosynthetic process/dicarboxylic acid biosynthetic process/dicarboxylic acid metabolic process/chorismate biosynthetic process/amino acid biosynthetic process/organic acid biosynthetic process/carboxylic acid biosynthetic process/aromatic amino acid family biosynthetic process/amino acid metabolic process/chorismate metabolic process/aromatic amino acid metabolic process,"transferase activity, transferring alkyl or aryl (other than methyl) groups",NA
aroL,P0A6E1,3503,18766,97.72916,100.00000,0.16460,0.00100,0.88923,0.00100,0.00156,Shikimate kinase 2,Biosynthesis of secondary metabolites,phosphorus metabolic process/phosphate-containing compound metabolic process/carboxylic acid metabolic process/phosphorylation/small molecule biosynthetic process/dicarboxylic acid biosynthetic process/dicarboxylic acid metabolic process/chorismate biosynthetic process/amino acid biosynthetic process/organic acid biosynthetic process/carboxylic acid biosynthetic process/aromatic amino acid family biosynthetic process/amino acid metabolic process/chorismate metabolic process/aromatic amino acid metabolic process,"magnesium ion binding/transferase activity, transferring phosphorus-containing groups/phosphotransferase activity, alcohol group as acceptor/kinase activity/adenyl nucleotide binding/ATP binding/adenyl ribonucleotide binding/purine ribonucleoside triphosphate binding/purine ribonucleotide binding",NA
aspS,P21889,3503,26532,97.64276,95.23810,0.12875,0.00100,0.70289,0.00100,0.00156,Aspartate--tRNA ligase,Aminoacyl-tRNA biosynthesis,carboxylic acid metabolic process/tRNA aminoacylation for protein translation/tRNA aminoacylation/tRNA metabolic process/amino acid activation/peptide biosynthetic process/translation/peptide metabolic process/amide metabolic process/amide biosynthetic process/ncRNA metabolic process/cellular macromolecule biosynthetic process/amino acid metabolic process/protein metabolic process,"catalytic activity, acting on a tRNA/aminoacyl-tRNA ligase activity/ligase activity, forming carbon-oxygen bonds/ligase activity/adenyl nucleotide binding/catalytic activity, acting on RNA/ATP binding/adenyl ribonucleotide binding/purine ribonucleoside triphosphate binding/purine ribonucleotide binding/catalytic activity, acting on a nucleic acid",NA
atpH,P0ABA4,3503,11536,98.49728,90.00000,0.08981,0.00100,0.73043,0.00100,0.00156,ATP synthase subunit delta,Oxidative phosphorylation,purine ribonucleotide metabolic process/ribose phosphate metabolic process/ribonucleotide metabolic process/purine nucleotide metabolic process/purine ribonucleoside triphosphate metabolic process/purine nucleoside triphosphate metabolic process/purine ribonucleotide biosynthetic process/ATP metabolic process/ribonucleoside triphosphate metabolic process/phosphorus metabolic process/monoatomic ion transport/ribose phosphate biosynthetic process/phosphate-containing compound metabolic process/purine nucleotide biosynthetic process/ribonucleotide biosynthetic process/purine-containing compound metabolic process/nucleoside triphosphate metabolic process/nucleoside phosphate metabolic process/purine-containing compound biosynthetic process/nucleotide metabolic process/nucleobase-containing small molecule metabolic process/organophosphate metabolic process/nucleotide biosynthetic process/nucleoside phosphate biosynthetic process/organophosphate biosynthetic process/carbohydrate derivative metabolic process/purine nucleoside triphosphate biosynthetic process/purine ribonucleoside triphosphate biosynthetic process/carbohydrate derivative biosynthetic process/ribonucleoside triphosphate biosynthetic process/nucleoside triphosphate biosynthetic process,active monoatomic ion transmembrane transporter activity/inorganic cation transmembrane transporter activity/monoatomic cation transmembrane transporter activity/inorganic molecular entity transmembrane transporter activity/monoatomic ion transmembrane transporter activity/active transmembrane transporter activity/proton transmembrane transporter activity/channel activity/passive transmembrane transporter activity/ATPase-coupled monoatomic cation transmembrane transporter activity/ligase activity/monoatomic cation channel activity/primary active transmembrane transporter activity/ATPase-coupled transmembrane transporter activity/proton channel activity/monoatomic ion channel activity/ATP-dependent activity,catalytic complex/membrane protein complex/proton-transporting two-sector ATPase complex/proton-transporting ATP synthase complex/ATPase complex
bamB,P77774,3503,28366,98.12953,87.50000,0.27190,0.00100,0.75643,0.00100,0.00156,Outer membrane protein assembly factor BamB,NA,membrane organization/macromolecule localization/cell envelope organization/Gram-negative-bacterium-type cell outer membrane assembly/membrane biogenesis/membrane assembly/cellular component organization/cellular component assembly/cellular component organization or biogenesis/cellular component biogenesis/protein insertion into membrane/cellular localization/localization within membrane/protein localization to membrane/protein localization/cellular macromolecule localization/establishment of protein localization/external encapsulating structure organization/establishment of protein localization to membrane,identical protein binding,side of membrane/membrane protein complex/external encapsulating structure/envelope/cell envelope/outer membrane/cell outer membrane/periplasmic side of cell outer membrane
cdsA,P0ABG1,3503,8432,99.09135,100.00000,0.13874,0.00100,0.91848,0.00100,0.00156,Phosphatidate cytidylyltransferase,Biosynthesis of secondary metabolites,phosphorus metabolic process/phosphate-containing compound metabolic process/organophosphate metabolic process/organophosphate biosynthetic process/glycerophospholipid metabolic process/glycerolipid metabolic process/glycerolipid biosynthetic process/glycerophospholipid biosynthetic process/phospholipid metabolic process/phospholipid biosynthetic process/lipid biosynthetic process/cellular lipid metabolic process/lipid metabolic process,"nucleotidyltransferase activity/transferase activity, transferring phosphorus-containing groups",NA
clcA,Q3Z5K2,3503,18472,97.68324,96.96970,0.21344,0.00100,0.80549,0.00100,0.00156,H(+)/Cl(-) exchange transporter ClcA,NA,NA,NA,NA
cmk,P0A6I0,3503,24560,98.49180,96.00000,0.17509,0.00100,0.92720,0.00100,0.00156,Cytidylate kinase,Nucleotide metabolism,phosphorus metabolic process/phosphate-containing compound metabolic process/nucleobase-containing small molecule interconversion/nucleoside phosphate metabolic process/nucleotide metabolic process/nucleobase-containing small molecule metabolic process/organophosphate metabolic process/nucleotide biosynthetic process/nucleoside phosphate biosynthetic process/organophosphate biosynthetic process/phosphorylation/response to radiation/nucleoside monophosphate metabolic process/response to ionizing radiation/pyrimidine-containing compound metabolic process/response to abiotic stimulus/pyrimidine nucleotide metabolic process/response to X-ray,"transferase activity, transferring phosphorus-containing groups/phosphotransferase activity, phosphate group as acceptor/kinase activity/adenyl nucleotide binding/ATP binding/guanosine tetraphosphate binding/adenyl ribonucleotide binding/purine ribonucleoside triphosphate binding/purine ribonucleotide binding/guanyl nucleotide binding/guanyl ribonucleotide binding/nucleobase-containing compound kinase activity",NA
cmoB,P76291,3503,26539,97.52036,94.44444,0.16434,0.00100,0.74802,0.00100,0.00156,tRNA U34 carboxymethyltransferase,NA,macromolecule modification/tRNA metabolic process/tRNA processing/tRNA wobble base modification/tRNA wobble uridine modification/tRNA modification/ncRNA metabolic process/RNA modification/RNA processing/ncRNA processing,"identical protein binding/transferase activity, transferring one-carbon groups/transferase activity, transferring alkyl or aryl (other than methyl) groups/methyltransferase activity",NA
comEC,NA,3503,18852,98.55069,96.77419,0.16615,0.00100,0.92381,0.00100,0.00156,hypothetical protein,NA,NA,NA,NA
cpdA,P0AEW4,3503,27138,97.32324,66.66667,0.28766,0.00100,0.73005,0.00100,0.00156,"3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA",Purine metabolism,NA,"phosphoric ester hydrolase activity/hydrolase activity, acting on ester bonds/ferrous iron binding/phosphoric diester hydrolase activity/transition metal ion binding/iron ion binding",NA
